Year,Month,Arrivals
2014,January,146575
2014,February,141878
2014,March,133048
2014,April,112631
2014,May,90046
2014,June,103175
2014,July,133971
2014,August,140319
2014,September,105535
2014,October,121576
2014,November,119727
2014,December,178672
2015,January,156246
2015,February,165541
2015,March,157051
2015,April,122217
2015,May,113529
2015,June,115467
2015,July,175804
2015,August,166610
2015,September,143374
2015,October,132280
2015,November,144147
2015,December,206114
2016,January,194280
2016,February,197697
2016,March,192841
2016,April,136367
2016,May,125044
2016,June,118038
2016,July,209351
2016,August,186288
2016,September,148499
2016,October,150419
2016,November,167217
2016,December,224791
2017,January,219360
2017,February,197517
2017,March,188076
2017,April,160249
2017,May,121891
2017,June,123351
2017,July,205482
2017,August,190928
2017,September,145077
2017,October,152429
2017,November,167511
2017,December,244536
2018,January,238924
2018,February,235618
2018,March,233382
2018,April,180429
2018,May,129466
2018,June,146828
2018,July,217829
2018,August,200359
2018,September,149087
2018,October,153123
2018,November,195582
2018,December,253169
2019,January,244239
2019,February,252033
2019,March,244328
2019,April,166975
2019,May,37802
2019,June,63072
2019,July,115701
2019,August,143587
2019,September,108575
2019,October,118743
2019,November,176984
2019,December,241663
2020,January,228434
2020,February,207507
2020,March,71370
2020,April,0
2020,May,0
2020,June,0
2020,July,0
2020,August,0
2020,September,0
2020,October,0
2020,November,0
2020,December,393
2021,January,1682
2021,February,3366
2021,March,4581
2021,April,4168
2021,May,1497
2021,June,1614
2021,July,2429
2021,August,5040
2021,September,13547
2021,October,22771
2021,November,44294
2021,December,89506
2022,January,82327
2022,February,96507
2022,March,106500
2022,April,62980
2022,May,30207
2022,June,32856
2022,July,47293
2022,August,37760
2022,September,29802
2022,October,42026
2022,November,59759
2022,December,91961
2023,January,102545
2023,February,107639
2023,March,125495
2023,April,105498
2023,May,83309
2023,June,100388
2023,July,143039
2023,August,136405
2023,September,111938
2023,October,109199
2023,November,151496
2023,December,210352
2024,January,208253
2024,February,218350
2024,March,209181
2024,April,148867
2024,May,112128
2024,June,113470
2024,July,187810
2024,August,164609
2024,September,PENDING
2024,October,PENDING
2024,November,PENDING
2024,December,PENDING
