YEAR,COUNTRY,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,TOTAL UP TO END OF DECEMBER
2018,AFGHANISTAN,83,150,112,40,108,44,47,78,34,41,52,72,861
2019,AFGHANISTAN,49,47,59,38,2,12,47,54,50,22,55,38,473
2020,AFGHANISTAN,65,64,17,0,0,0,0,0,0,0,0,0,146
2021,AFGHANISTAN,0,0,1,1,1,1,0,1,4,0,1,5,15
2022,AFGHANISTAN,0,2,16,0,1,0,2,0,0,0,7,11,39
2023,AFGHANISTAN,9,2,1,1,24,6,30,41,21,5,25,16,181
2024,AFGHANISTAN,26,21,18,0,20,2,15,18,120,PENDING,PENDING,PENDING,
2018,ALBANIA,14,15,5,16,12,15,11,19,14,13,12,31,177
2019,ALBANIA,48,33,54,43,40,31,17,15,11,23,27,27,369
2020,ALBANIA,33,38,26,0,0,0,0,0,0,0,0,0,97
2021,ALBANIA,0,0,0,0,0,0,0,0,0,0,0,3,3
2022,ALBANIA,21,7,10,6,7,8,4,2,2,3,3,10,83
2023,ALBANIA,6,8,4,6,7,9,12,9,3,4,8,12,88
2024,ALBANIA,7,6,13,10,11,7,11,13,78,PENDING,PENDING,PENDING,
2018,ALGERIA,38,35,28,24,12,19,24,71,27,20,27,43,368
2019,ALGERIA,34,32,36,32,3,8,3,17,29,16,13,49,272
2020,ALGERIA,34,41,8,0,0,0,0,0,0,0,0,0,83
2021,ALGERIA,0,0,0,0,0,0,0,0,1,0,8,21,30
2022,ALGERIA,6,24,31,8,15,9,10,9,10,12,11,29,174
2023,ALGERIA,21,16,15,33,22,25,29,36,39,19,27,29,311
2024,ALGERIA,18,38,10,38,28,48,54,49,283,PENDING,PENDING,PENDING,
2018,ANDORRA,4,6,2,3,6,0,5,16,3,3,1,4,53
2019,ANDORRA,2,3,5,9,4,0,7,7,2,7,2,5,53
2020,ANDORRA,2,1,,0,0,0,0,0,0,0,0,0,3
2021,ANDORRA,0,0,1,0,0,0,0,0,0,0,3,1,5
2022,ANDORRA,0,1,3,0,2,1,2,13,0,0,0,3,25
2023,ANDORRA,4,1,1,3,2,2,7,15,4,7,1,6,53
2024,ANDORRA,3,6,10,1,7,6,20,25,78,PENDING,PENDING,PENDING,
2018,ANGOLA,0,1,2,1,0,0,0,0,2,1,1,1,9
2019,ANGOLA,4,2,0,0,0,0,0,0,3,5,2,1,17
2020,ANGOLA,1,1,1,0,0,0,0,0,0,0,0,0,3
2021,ANGOLA,0,0,0,0,0,0,0,0,0,1,1,0,2
2022,ANGOLA,2,2,3,2,0,0,1,0,3,0,0,0,13
2023,ANGOLA,0,0,1,1,0,0,1,1,0,0,1,5,10
2024,ANGOLA,8,0,2,1,5,0,0,2,18,PENDING,PENDING,PENDING,
2022,ANTARCTICA,0,0,0,0,0,0,0,0,0,0,0,1,1
2018,ANTIGUA AND BARBUDA,1,5,2,2,1,1,2,1,1,1,0,3,20
2019,ANTIGUA AND BARBUDA,1,2,7,2,0,0,0,2,0,0,5,0,19
2020,ANTIGUA AND BARBUDA,4,6,4,0,0,0,0,0,0,0,0,0,14
2021,ANTIGUA AND BARBUDA,0,1,0,0,0,0,0,0,0,0,2,1,4
2022,ANTIGUA AND BARBUDA,2,0,3,1,2,1,1,2,0,1,2,1,16
2023,ANTIGUA AND BARBUDA,4,2,2,3,1,0,1,6,3,0,2,3,27
2024,ANTIGUA AND BARBUDA,3,5,5,3,1,0,5,2,24,PENDING,PENDING,PENDING,
